init_cas9_virus	init_junk	virus_kill_density
1	0	1.000000
4	0	0.250000
7	0	0.571429
10	0	0.600000
13	0	0.923077
16	0	0.812500
19	0	0.894737
22	0	0.909091
25	0	0.880000
28	0	0.892857
31	0	0.903226
34	0	0.911765
37	0	0.918919
40	0	0.975000
43	0	0.930233
46	0	0.869565
49	0	0.918367
52	0	0.961538
55	0	0.909091
58	0	0.913793
61	0	0.950820
64	0	0.968750
67	0	0.955224
70	0	0.928571
73	0	0.931507
76	0	0.973684
79	0	0.962025
82	0	0.963415
85	0	0.952941
88	0	0.920455
1	10	1.000000
4	10	0.750000
7	10	0.714286
10	10	0.700000
13	10	0.923077
16	10	0.812500
19	10	0.947368
22	10	0.909091
25	10	0.960000
28	10	0.928571
31	10	0.870968
34	10	0.941176
37	10	0.864865
40	10	0.950000
43	10	0.930233
46	10	0.891304
49	10	0.938776
52	10	0.961538
55	10	0.927273
58	10	0.965517
61	10	0.950820
64	10	0.937500
67	10	0.955224
70	10	0.942857
73	10	0.945205
76	10	0.934211
79	10	0.924051
82	10	0.963415
85	10	0.941176
88	10	0.965909
1	20	0.000000
4	20	0.750000
7	20	0.714286
10	20	0.900000
13	20	0.769231
16	20	0.875000
19	20	0.894737
22	20	0.863636
25	20	0.960000
28	20	0.928571
31	20	0.967742
34	20	0.882353
37	20	0.918919
40	20	0.900000
43	20	0.930233
46	20	0.913043
49	20	0.959184
52	20	0.923077
55	20	0.927273
58	20	0.965517
61	20	0.967213
64	20	0.968750
67	20	0.925373
70	20	0.957143
73	20	0.945205
76	20	0.973684
79	20	0.949367
82	20	0.951220
85	20	0.952941
88	20	0.965909
1	30	0.000000
4	30	0.750000
7	30	0.714286
10	30	0.700000
13	30	0.846154
16	30	0.875000
19	30	0.947368
22	30	0.863636
25	30	0.960000
28	30	0.964286
31	30	0.967742
34	30	0.911765
37	30	0.945946
40	30	0.950000
43	30	0.930233
46	30	0.956522
49	30	0.938776
52	30	0.942308
55	30	0.945455
58	30	0.931034
61	30	0.934426
64	30	0.921875
67	30	0.970149
70	30	0.957143
73	30	0.945205
76	30	0.921053
79	30	0.936709
82	30	0.963415
85	30	0.964706
88	30	0.931818
1	40	1.000000
4	40	0.500000
7	40	0.571429
10	40	0.800000
13	40	0.846154
16	40	0.812500
19	40	0.789474
22	40	0.818182
25	40	0.840000
28	40	0.928571
31	40	0.935484
34	40	0.911765
37	40	0.918919
40	40	0.950000
43	40	0.906977
46	40	0.956522
49	40	0.897959
52	40	0.942308
55	40	0.872727
58	40	0.931034
61	40	0.950820
64	40	0.968750
67	40	0.955224
70	40	0.942857
73	40	0.972603
76	40	0.960526
79	40	0.924051
82	40	0.939024
85	40	0.964706
88	40	0.954545
1	50	0.000000
4	50	0.500000
7	50	0.714286
10	50	0.700000
13	50	0.846154
16	50	0.937500
19	50	0.736842
22	50	0.863636
25	50	0.920000
28	50	0.892857
31	50	0.903226
34	50	1.000000
37	50	0.945946
40	50	0.950000
43	50	0.953488
46	50	0.913043
49	50	0.938776
52	50	0.942308
55	50	0.945455
58	50	0.931034
61	50	0.950820
64	50	0.906250
67	50	0.940299
70	50	0.928571
73	50	0.931507
76	50	0.947368
79	50	0.962025
82	50	0.926829
85	50	0.964706
88	50	0.965909
1	60	1.000000
4	60	0.500000
7	60	0.571429
10	60	0.900000
13	60	0.846154
16	60	0.812500
19	60	0.842105
22	60	0.909091
25	60	0.920000
28	60	0.928571
31	60	0.935484
34	60	0.882353
37	60	0.945946
40	60	0.950000
43	60	0.930233
46	60	0.934783
49	60	0.897959
52	60	0.884615
55	60	0.963636
58	60	0.948276
61	60	0.918033
64	60	0.953125
67	60	0.925373
70	60	0.942857
73	60	0.931507
76	60	0.947368
79	60	0.962025
82	60	0.987805
85	60	0.964706
88	60	0.954545
1	70	0.000000
4	70	0.750000
7	70	0.857143
10	70	0.800000
13	70	0.769231
16	70	0.875000
19	70	0.894737
22	70	0.954545
25	70	0.880000
28	70	0.928571
31	70	0.935484
34	70	0.882353
37	70	0.945946
40	70	0.975000
43	70	0.953488
46	70	0.978261
49	70	0.918367
52	70	0.923077
55	70	0.945455
58	70	0.913793
61	70	0.950820
64	70	0.968750
67	70	0.955224
70	70	0.957143
73	70	0.972603
76	70	0.921053
79	70	0.974684
82	70	0.939024
85	70	0.964706
88	70	0.965909
1	80	1.000000
4	80	0.750000
7	80	0.428571
10	80	0.800000
13	80	0.923077
16	80	0.750000
19	80	0.789474
22	80	0.909091
25	80	0.920000
28	80	0.928571
31	80	0.903226
34	80	0.852941
37	80	0.891892
40	80	0.925000
43	80	0.906977
46	80	0.956522
49	80	0.897959
52	80	0.961538
55	80	0.981818
58	80	0.965517
61	80	0.901639
64	80	0.953125
67	80	0.970149
70	80	0.928571
73	80	0.945205
76	80	0.973684
79	80	0.949367
82	80	0.975610
85	80	0.976471
88	80	0.943182
1	90	0.000000
4	90	0.750000
7	90	0.714286
10	90	0.800000
13	90	0.846154
16	90	0.750000
19	90	0.736842
22	90	0.909091
25	90	0.880000
28	90	0.892857
31	90	0.903226
34	90	0.911765
37	90	0.918919
40	90	0.850000
43	90	0.953488
46	90	0.934783
49	90	0.897959
52	90	0.980769
55	90	0.981818
58	90	0.948276
61	90	0.950820
64	90	0.968750
67	90	0.910448
70	90	0.957143
73	90	0.958904
76	90	0.947368
79	90	0.974684
82	90	0.963415
85	90	0.941176
88	90	0.965909
1	100	0.000000
4	100	0.750000
7	100	0.714286
10	100	0.800000
13	100	0.846154
16	100	0.812500
19	100	0.894737
22	100	1.000000
25	100	0.880000
28	100	0.892857
31	100	0.935484
34	100	0.941176
37	100	0.945946
40	100	0.950000
43	100	0.930233
46	100	0.913043
49	100	0.959184
52	100	0.923077
55	100	0.963636
58	100	0.931034
61	100	0.918033
64	100	0.921875
67	100	0.985075
70	100	0.957143
73	100	0.931507
76	100	0.921053
79	100	0.949367
82	100	0.951220
85	100	0.964706
88	100	0.965909
